PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,NOMBRE-VIA,CLASE-VIAL,TIPO-NUM,NUM,PLANTA,PUERTA,ESCALERAS,ORIENTACION,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,FAX,EMAIL,TIPO,Column
4678,Centro Deportivo Municipal Ángel Nieto (antiguo Puente de Vallecas),,"Horario de uso de las instalaciones deportivas:  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8,30 a 20:45 horas. Sábados, domingos y festivos cerrado.   Cierre completo del centro   El mes de agosto y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pistas de squash, piscina, pabellón polideportivo, sala de musculación","Metro: Portazgo.  Bus:   10 , 54 , 57 , 58 , 103.    Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 4 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb1b42be9971c010VgnVCM1000000b205a0aRCRD,PAYASO FOFO,CALLE,V,7,,,,,MADRID,MADRID,28018,3,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,443998,4471417,40.39146195,-3.659863603,914 781 492,,idmpvallecas@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4617960,Centro Deportivo Municipal Antiguo Canódromo,,"Horario de uso en las instalaciones deportivas:  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.",sala de musculación,"Bus: 17 , 25 , 119.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=dd6426521e7f3110VgnVCM1000000b205a0aRCRD,VIA CARPETANA,CALLE,V,57,,,,,MADRID,MADRID,28047,3,SAN ISIDRO,11,CARABANCHEL,437604,4472194,40.39801608,-3.735272504,618439332,,cdmantiguocanodromo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4624404,Centro Deportivo Municipal Antonio Díaz Miguel,,"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla    De lunes a viernes: de 7 a 14:30  y de 15:30 a 22 horas  Sábados: de 9 a 14 y de 15  a 19 horas Domingos y festivos: 9 a 14 horas   Cierre completo del centro  Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo","pista de bádminton - pista de baloncesto - pista de balonmano - pista de fútbol sala - sala de musculación enseñanzas deportivas preinfantiles: educación física de base &amp;ndash; matronatación &amp;ndash; natación peques infantiles (edad, piscina, pabellón polideportivo, sala de musculación",Metro: VentillaBus: 42,,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c90342b9fda34110VgnVCM1000000b205a0aRCRD,JOAQUIN DICENTA,CALLE,V,1,,,,,MADRID,MADRID,28029,4,ALMENARA,6,TETUAN,441058,4480296,40.47125427,-3.695325698,913 145 437,,idmadm@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
99578,Centro Deportivo Municipal Barajas,,"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: mañanas de 8,30 a 9,45 y de 10,15 a 13,15. Tardes de 17,00 a 19.00 y de 19,30 a 20,30 horas. Sábados, domingos y festivos: de 9,30 a 9,45 y de 10,15 a 14,15 horas.   Cierre completo del centro   Mes de agosto y días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pistas de pádel , pistas de tenis, piscina, pabellón polideportivo, sala de musculación","Metro: Barajas , Alameda de Osuna.  Bus: Urbanos (105, 112, 115, 151) / Interurbanos (211, 212, 827).  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 6 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=b86c79262ef5d010VgnVCM1000000b205a0aRCRD,LOGROÑO,AVENIDA,NUM,70,,,,,MADRID,MADRID,28042,1,ALAMEDA DE OSUNA,21,BARAJAS,450176,4479315,40.46301383,-3.587693324,913 290 602,,idmbarajas@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
10051058,Centro Deportivo Municipal Barceló,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 7 a 24 horas. Sábados, domingos y festivos: de 7 a 22 horas.   Cierre completo del centro    Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.",,"Metro: Tribunal, Alonso Martínez, Bilbao.  Bus: 3, 21, 37, 40, 147, 149.  Bicicleta:  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=335b21f025d44510VgnVCM2000001f4a900aRCRD,BARCELO,MERCADO,T,6,4º,,,,MADRID,MADRID,28004,,JUSTICIA/ CENTRO,,DISTRITO,440721,4475354,40.42671069,-3.698827764,910 285 389,,infobarcelo@forus.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4695,Centro Deportivo Municipal Blanca Fernández Ochoa (La Mina),,"Horario de uso de las instalaciones deportivas               Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes: de 9,00 a 20,30 horas. Sábados, domingos y festivos: de 9,00 a 14,30 horas.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pistas de pádel , pistas de squash, piscina, pabellón polideportivo, sala de musculación","Metro: Carabanchel , Eugenia de Montijo.  Bus: 17 , 34 , 35 , 113 , 484 ,  481.  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para  4  bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=930942be9971c010VgnVCM1000000b205a0aRCRD,MONSEÑOR OSCAR ROMERO,CALLE,V,41,,,,,MADRID,MADRID,28025,4,VISTA ALEGRE,11,CARABANCHEL,436638,4470463,40.38234956,-3.746482525,"914 661 278                                                                     
914 661 732",,idmlamina@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4705,Centro Deportivo Municipal Casa de Campo,,"Horario de uso de las instalaciones deportivas                   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla:   De lunes a viernes, de 9 a 21 horas. Horario de verano, de lunes a domingo, de 9,30 a 14 y de 16 a 20,30 horas.    Cierre completo del Centro:      Los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","piscina, sala de musculación","Metro: Lago, Puerta del Ángel.  Bus:  31, 33, 36, 39, 65, 138.   Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 10 bicicletas.  Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3876b0c40971c010VgnVCM1000000b205a0aRCRD,PUERTA DEL ANGEL,PASEO,V,7,,,,,MADRID,MADRID,28011,1,CASA DE CAMPO,9,MONCLOA-ARAVACA,437768,4474204,40.41612629,-3.733536574,914 630 050 / 914 649 889,,idmccampo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
78960,Centro Deportivo Municipal Centro Integrado Arganzuela,,"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 9 a 21 horas. Sábados, domingos y festivos de 9 a 14:30 horas.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1, 2 y 6 de enero y 1 de mayo.","pistas de pádel (cristal), piscina, pabellón polideportivo","Metro: Palos de la Frontera  Bus: 6, 8, 19, 45, 47, 55, 59, 85, 86, 102, 247  Renfe: Delicias.  Bicicleta: el centro dispone de aparca bicicletas exterior con capacidad para 6 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0fd38ed67151c010VgnVCM2000000c205a0aRCRD,CANARIAS,CALLE,V,17,,,,,MADRID,MADRID,28045,6,PALOS DE MOGUER,2,ARGANZUELA,441089,4472825,40.4020728,-3.695532539,915 273 938 - Taquilla 915 063 616,,idmestacionsur@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4687,Centro Deportivo Municipal Cerro Almodóvar,,"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.   Horario de taquilla  De lunes a viernes: de 8:30 a 14 horas y de 14:30 a 20 horas.Sábados, domingos y festivos: cerrado  Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo","pistas de pádel (cristal), piscina, pabellón polideportivo, sala de musculación","Bus: 58, 63, 145  Renfe: Santa Eugenia",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8e96b0c40971c010VgnVCM1000000b205a0aRCRD,CERRO DE ALMODOVAR,CALLE,V,9,,,,,MADRID,MADRID,28007,2,SANTA EUGENIA,18,VILLA DE VALLECAS,448872,4470296,40.38168571,-3.602336461,913 314 047,,idmcalmodovar@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4700,Centro Deportivo Municipal Chamartín,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes de 7 a 22,45 horas, sábados de 8 a 20,45 horas, domingos y festivos de 8 a 14,45 horas.   Cierre completo del centro    Días 25 de diciembre, 1 de enero y 1 de mayo.","piscina, pabellón polideportivo","Metro: Pío XII.  Bus: 16 , 29 , 51 , 150.  Bicicleta:  El centro dispone de aparcabicicletas interior con capacidad para 12 bicicletas.  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f8c79262ef5d010VgnVCM1000000b205a0aRCRD,PIO XII,AVENIDA,V,2,,,,,MADRID,MADRID,28016,5,NUEVA ESPAÑA,5,CHAMARTIN,442779,4479368,40.4611335,-3.676208246,91 359 33 39,,infochamartin@forus.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
6208448,Centro Deportivo Municipal Circuito BMX,,"Horario de circuito:  De lunes a viernes y festivos, de 15:30 a 21:30 horasSábados y domingos, de 9:00 a 14:30 horas   Horario de taquilla:   De lunes a viernes y festivos, de 15:30 a 21:00 horasSábados y domingos, de 9:00 a 14:00 horas  Cierre completo del centro  Del 24 de diciembre al 1 de enero ambos incluidos y 6 de enero.",,"Metro: LegazpiBus: 62, T-32","Tipo de Gestión Directa, por parte del Ayuntamiento de Madrid   EQUIPAMIENTOS    Unidades deportivas al aire libre: Circuito de BMX     Accesibilidad: instalación adaptada.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=48fbf0c99a833310VgnVCM1000000b205a0aRCRD,EMBAJADORES,CALLE,V,316,,,,,MADRID,MADRID,28045,4,LEGAZPI,2,ARGANZUELA,441446,4470778,40.38553901,-3.689872249,915 279 704,,idmcircuitobmx@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/CanchasBaloncesto, 
4702,Centro Deportivo Municipal Ciudad de los Poetas,,"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes de 9 a 21,00 horas. Sábados, domingos y festivos, cerrado.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.",pabellón polideportivo,"Metro: Antonio Machado, Valdez arza   Bus : 126, 127, 132  Bicicleta:el centro dispone de aparca bicicletas  exterior con capacidad para 5 bicicletas.   Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2be6b0c40971c010VgnVCM1000000b205a0aRCRD,ANTONIO MACHADO,CALLE,V,12,,,,,MADRID,MADRID,28035,4,VALDEZARZA,9,MONCLOA-ARAVACA,439052,4479721,40.46592068,-3.718932559,91 373 27 39,,idmcpoetas@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4672,Centro Deportivo Municipal Concepción,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 8:30 a 14:30 y de 14:45 a 20:30 horas. Sábados, domingos y festivos: de 8:30 a 14:00 horas.   Cierre completo del centro   Días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pistas de pádel, pista de patinaje, pistas de tenis, piscina, pabellón polideportivo, sala de musculación","Metro: Barrio de la Concepción, Pueblo Nuevo, Quintana.  Bus: 21 ,146, 48.  Bicicleta: el centro dispone de aparca bicicletas,    exterior con capacidad para 11 bicicletas.  interior con capacidad para 6 bicicletas.    Servicio Bicimad , para consultar la estación más cercana, acceda al  mapa de geolocalización de las estaciones .",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5bc79262ef5d010VgnVCM1000000b205a0aRCRD,JOSE DEL HIERRO,CALLE,V,5,,,,,MADRID,MADRID,28027,4,CONCEPCION,15,CIUDAD LINEAL,445003,4476493,40.43725652,-3.648449813,"914 039 020                                                                                     
914 039 021",,idmconcepcion@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
134059,Centro Deportivo Municipal Daoíz y Velarde 1,,"Horario de uso de las instalaciones deportivas    Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla    De lunes a viernes de 9 a 20,30 horas. Sábados, domingos y festivos de 9 a 20,30 horas.   Cierre completo del centro     Mes de agosto y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","pista de pádel (cristal), piscina, pabellón polideportivo, sala de musculación","Metro: Pacífico, Menéndez Pelayo Bus: 37, 57, 10, 54, 24, 141  Renfe: Méndez Alvaro, Atocha  Bicicleta: el centro dispone de aparcabicicletas exterior con capacidad para 5 bicicletas.   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,"1,5,6",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=380d5f463b81c010VgnVCM1000000b205a0aRCRD,DAOÍZ Y VELARDE,PLAZA,V,5,,,,,MADRID,MADRID,28007,1,PACIFICO,3,RETIRO,442528,4472638,40.40236991,-3.677280893,"914 338 950                                                                                  
914 338 770",,idmdvelarde@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
4726,Centro Deportivo Municipal Daoíz y Velarde 2,,"Horario de uso de instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes; de 9 a 21 horas.   Cierre completo del centro   Sábados, domingos y festivos. Mes de agosto.","gimnasio, sala de musculación","Metro: Pacífico.  Bus: 37 , 57.  Renfe: Méndez Álvaro.  Bicicleta:   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=c737b0c40971c010VgnVCM1000000b205a0aRCRD,ALBERCHE,CALLE,V,21,,,,,MADRID,MADRID,28007,1,PACIFICO,3,RETIRO,442475,4472465,40.40079919,-3.677890297,91 433 27 58,91 552 28 78,secretaria@fmkarate.com,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Gimnasios, 
140197,Centro Deportivo Municipal El Espinillo,,"Horario de uso de las instalaciones deportivas  Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 9,30 a 20,30 horas. Sábados y domingos de 9,30 a 14,15 horas. Festivos, cerrado.   Cierre completo del centro   Mes de agosto y los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.",piscina,"Bus: 23, 123, 130  Metro: Villaverde Bajo Cruce  Renfe: Villaverde Bajo  Bicicleta: el centro dispone de aparca bicicletas interior con capacidad para 4 bicicletas.",,1,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9cdc79262ef5d010VgnVCM1000000b205a0aRCRD,VILLAVERDE A VALLECAS,CARRETERA,V,19,,,,,MADRID,MADRID,28041,4,LOS ROSALES,17,VILLAVERDE,441698,4467536,40.35634194,-3.686595142,913 603 265,,idmespinillo@madrid.es,/contenido/entidadesYorganismos/CentrosEspaciosDeporte/Piscinas, 
