TIPORESIDUO,TIPOCONTENEDOR
"Bolsas y envoltorios de plástico y aluminio: bolsas de plástico para alimentos, bolsas y recipientes de aluminio para alimentos, papel de aluminio, bolsas de supermercado, envases  al vacío, envoltorios de plástico, film de polietileno...",ENVASES
"Guías telefónicas, folletos y propaganda",PAPEL-CARTON
Bombillas de bajo consumo y tubos fluorescentes (3 unidades),PUNTO LIMPIO FIJO
Bombillas de bajo consumo y tubos fluorescentes (3 unidades),PUNTO LIMPIO MÓVIL
Bombillas de bajo consumo y tubos fluorescentes (3 unidades),PUNTO LIMPIO DE PROXIMIDAD
"Residuos de pequeñas curas como tiritas, esparadrapo, gasas, vendas, algodón…",RESTO
Posos de café,ORGACNICA
"Plástico de los envases tipo blíster: donde vienen las pilas, las cuchillas de afeitar…",ENVASES
Hueveras de cartón,PAPEL-CARTON
"CD´s, DVD´s, casetes... y sus embalajes (50 unidades)",PUNTO LIMPIO FIJO
"CD´s, DVD´s, casetes... y sus embalajes (20 unidades)",PUNTO LIMPIO MÓVIL
"CD´s, DVD´s, casetes... y sus embalajes (20 unidades)",PUNTO LIMPIO DE PROXIMIDAD
"Papel: servilletas, papel de cocina, folios... y cartón sucios (de pintura o de otros líquidos que no son de uso alimentario…)",RESTO
Restos de infusiones,ORGACNICA
Papel de aluminio o film,ENVASES
Tubos y canutos de cartón,PAPEL-CARTON
Cintas de video (50 unidades),PUNTO LIMPIO FIJO
Cintas de video (20 unidades),PUNTO LIMPIO MÓVIL
Cintas de video (20 unidades),PUNTO LIMPIO DE PROXIMIDAD
Encerados,RESTO
Tapones de corcho,ORGACNICA
Papel de plata de los paquetes de cigarro,ENVASES
Bases de cartón de los envoltorios de productos,PAPEL-CARTON
"Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs ",PUNTO LIMPIO FIJO
"Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",PUNTO LIMPIO MÓVIL
"Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ",PUNTO LIMPIO DE PROXIMIDAD
Pelo,RESTO
Cerillas,ORGACNICA
Envases,PUNTO LIMPIO FIJO
Envases,PUNTO LIMPIO MÓVIL
"Plástico que no sea envases, bolsas ni envoltorios, como muñecos, maquinillas de afeitar, agujas de coser, tejer, de plástico…",RESTO
Serrín,ORGACNICA
Envases contaminados (producción doméstica),PUNTO LIMPIO FIJO
Envases contaminados (6 unidades),PUNTO LIMPIO MÓVIL
"Residuos de limpieza doméstica: Polvo, restos de barrer, bolsas de aspiradora…",RESTO
"Pequeños restos de poda y jardinería: plantas, hojarasca, ramos de flores…",ORGACNICA
Baterías de automovil (2 unidades),PUNTO LIMPIO FIJO
Baterías de automovil (1 unidades),PUNTO LIMPIO MÓVIL
"Adhesivos: celo, cintas de embalar, pegatinas…",RESTO
Pintura y disolventes (5 Kg),PUNTO LIMPIO FIJO
Pintura y disolventes (5 Kg),PUNTO LIMPIO MÓVIL
Sellos adhesivos sin usar,RESTO
Aceite mineral o sintético de motor (10 Litros),PUNTO LIMPIO FIJO
Aceite mineral o sintético de motor (5 Litros),PUNTO LIMPIO MÓVIL
"Cristal: vasos, vajillas, copas u otros objetos de cristal (en pequeñas cantidades)",RESTO
Jeringuillas y agujas hipodérmicas de origen doméstico: 50 unidades,PUNTO LIMPIO FIJO
Jeringuillas y agujas hipodérmicas de origen doméstico: 30 unidades,PUNTO LIMPIO MÓVIL
Pírex,RESTO
Neumáticos de bicicleta: 3 unidades,PUNTO LIMPIO FIJO
Neumáticos de bicicleta: 1 unidades,PUNTO LIMPIO MÓVIL
Espejos rotos (en pequeñas cantidades),RESTO
Tapones de plástico de recipientes domésticos.,PUNTO LIMPIO FIJO
Tapones de plástico de recipientes domésticos.,PUNTO LIMPIO MÓVIL
Fotografías,RESTO
Metales (producción doméstica),PUNTO LIMPIO FIJO
"Pequeño menaje metálico de cocina: 2 unidades. La máxima dimensión no debe superar los 40 cm de longitud (no se contabilizará el mango de sartenes en esta limitación). Sí admiten sartenes, ollas, cazos, espumaderas y similares.",PUNTO LIMPIO MÓVIL
Chicles,RESTO
Vidrio  (producción doméstica),PUNTO LIMPIO FIJO
Tetinas de biberones,RESTO
Papel y cartón (producción doméstica),PUNTO LIMPIO FIJO
Funda de gafas,RESTO
"Cristal plano de ventanas, cuadros, vitrocerámicas o espejos",PUNTO LIMPIO FIJO
Gafas de sol/ de ver y su cristal ,RESTO
Frigoríficos y aires acondicionados (1 unidad),PUNTO LIMPIO FIJO
Botones,RESTO
"Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades)",PUNTO LIMPIO FIJO
Espumaderas de teflón,RESTO
Maderas (hasta 150 Kg),PUNTO LIMPIO FIJO
"Escoba, cepillo, plumero, fregona",RESTO
"Esponjas, estropajos, bayetas",RESTO
"Muebles, estanterías, somieres, colchones  y enseres… (5 unidades)",PUNTO LIMPIO FIJO
"Cepillos de dientes, cepillos del pelo",RESTO
Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños),PUNTO LIMPIO FIJO
Colillas,RESTO
Restos de poda (producción doméstica),PUNTO LIMPIO FIJO
Lentillas,RESTO
Termómetros (2 unidades),PUNTO LIMPIO FIJO
"Plastilina, fimo",RESTO
Medicamentos y sus envases (1 Kg),PUNTO LIMPIO FIJO
Bolsas de sílice (antihumedad),RESTO
"Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad",PUNTO LIMPIO FIJO
"Restos de escayola, arcillas en pequeñas cantidades",RESTO
Porexpán  de grandes embalajes domésticos.,PUNTO LIMPIO FIJO
Gelatinas hidropónicas,RESTO
Piedras de peceras,RESTO
"Rotuladores de pintar, permanentes y fluorescentes",RESTO
"Pinturas de niños, ceras",RESTO
Lápices de madera,RESTO
Restos de enseres de madera (en pequeñas cantidades),RESTO
"Reglas, escuadras, cartabón, semicirculo…",RESTO
"Recipientes de cocina de cristal, de madera y de plástico",RESTO
"Adornos navideños, espumillón",RESTO
Pelucas ,RESTO
"Cubiertos y pequeños objetos metálicos: llaves, cerraduras",RESTO
"Coleteros, pulseras de tela, goma…",RESTO
"Pelotas: de fútbol, baloncesto, tenis…",RESTO
"Palas y raquetas: de ténis, de pádel… ",RESTO
